Index	Name	Type	X	Y	Width	Height	Color	Fill	LWidth	Pos	C	Z	T
0	0001-0296-0381	Point	381	296	0	0	none	none	0	1	0	1	0
1	0002-0296-0383	Point	383	296	1	1	none	none	0	2	0	2	0
2	0003-0295-0383	Point	383	295	1	1	none	none	0	3	0	3	0
3	0004-0293-0383	Point	383	293	1	1	none	none	0	4	0	4	0
4	0005-0293-0385	Point	385	293	1	1	none	none	0	5	0	5	0
5	0006-0294-0384	Point	384	294	1	1	none	none	0	6	0	6	0
6	0007-0292-0386	Point	386	292	1	1	none	none	0	7	0	7	0
7	0008-0293-0388	Point	388	293	1	1	none	none	0	8	0	8	0
8	0009-0292-0387	Point	387	292	1	1	none	none	0	9	0	9	0
9	0010-0293-0389	Point	389	293	1	1	none	none	0	10	0	10	0
10	0011-0295-0388	Point	388	295	1	1	none	none	0	11	0	11	0
11	0012-0295-0390	Point	390	295	0	0	none	none	0	12	0	12	0
12	0013-0294-0391	Point	391	294	1	1	none	none	0	13	0	13	0
13	0014-0295-0393	Point	393	295	1	1	none	none	0	14	0	14	0
14	0015-0294-0395	Point	395	294	1	1	none	none	0	15	0	15	0
15	0016-0294-0398	Point	398	294	1	1	none	none	0	16	0	16	0
16	0017-0296-0398	Point	398	296	1	1	none	none	0	17	0	17	0
17	0018-0296-0400	Point	400	296	1	1	none	none	0	18	0	18	0
18	0019-0296-0400	Point	400	296	0	0	none	none	0	19	0	19	0
19	0020-0296-0402	Point	402	296	0	0	none	none	0	20	0	20	0
20	0021-0296-0401	Point	401	296	1	1	none	none	0	21	0	21	0
21	0022-0297-0403	Point	403	297	1	1	none	none	0	22	0	22	0
22	0023-0295-0401	Point	401	295	0	0	none	none	0	23	0	23	0
23	0024-0298-0403	Point	403	298	1	1	none	none	0	24	0	24	0
24	0025-0299-0403	Point	403	299	1	1	none	none	0	25	0	25	0
25	0026-0299-0401	Point	401	299	0	0	none	none	0	26	0	26	0
26	0027-0300-0402	Point	402	300	1	1	none	none	0	27	0	27	0
27	0028-0298-0401	Point	401	298	1	1	none	none	0	28	0	28	0
28	0029-0299-0401	Point	401	299	0	0	none	none	0	29	0	29	0
29	0030-0299-0402	Point	402	299	1	1	none	none	0	30	0	30	0
30	0031-0298-0403	Point	403	298	1	1	none	none	0	31	0	31	0
31	0032-0297-0402	Point	402	297	1	1	none	none	0	32	0	32	0
32	0033-0299-0403	Point	403	299	1	1	none	none	0	33	0	33	0
33	0034-0299-0404	Point	404	299	1	1	none	none	0	34	0	34	0
34	0035-0298-0404	Point	404	298	1	1	none	none	0	35	0	35	0
35	0036-0301-0402	Point	402	301	1	1	none	none	0	36	0	36	0
36	0037-0300-0402	Point	402	300	1	1	none	none	0	37	0	37	0
37	0038-0298-0402	Point	402	298	1	1	none	none	0	38	0	38	0
38	0039-0298-0404	Point	404	298	1	1	none	none	0	39	0	39	0
39	0040-0299-0403	Point	403	299	1	1	none	none	0	40	0	40	0
40	0041-0297-0405	Point	405	297	1	1	none	none	0	41	0	41	0
41	0042-0299-0405	Point	405	299	1	1	none	none	0	42	0	42	0
42	0043-0300-0406	Point	406	300	1	1	none	none	0	43	0	43	0
43	0044-0299-0405	Point	405	299	1	1	none	none	0	44	0	44	0
44	0045-0299-0409	Point	409	299	1	1	none	none	0	45	0	45	0
45	0046-0300-0409	Point	409	300	1	1	none	none	0	46	0	46	0
46	0047-0301-0411	Point	411	301	1	1	none	none	0	47	0	47	0
47	0048-0303-0409	Point	409	303	1	1	none	none	0	48	0	48	0
48	0049-0301-0408	Point	408	301	1	1	none	none	0	49	0	49	0
49	0050-0302-0407	Point	407	302	1	1	none	none	0	50	0	50	0
50	0051-0300-0405	Point	405	300	0	0	none	none	0	51	0	51	0
51	0052-0300-0404	Point	404	300	0	0	none	none	0	52	0	52	0
52	0053-0299-0404	Point	404	299	1	1	none	none	0	53	0	53	0
53	0054-0299-0403	Point	403	299	1	1	none	none	0	54	0	54	0
54	0055-0298-0402	Point	402	298	1	1	none	none	0	55	0	55	0
55	0056-0301-0400	Point	400	301	1	1	none	none	0	56	0	56	0
56	0057-0300-0399	Point	399	300	1	1	none	none	0	57	0	57	0
57	0058-0298-0397	Point	397	298	1	1	none	none	0	58	0	58	0
58	0059-0300-0395	Point	395	300	1	1	none	none	0	59	0	59	0
59	0060-0300-0393	Point	393	300	1	1	none	none	0	60	0	60	0
60	0061-0299-0390	Point	390	299	1	1	none	none	0	61	0	61	0
61	0062-0298-0388	Point	388	298	1	1	none	none	0	62	0	62	0
62	0063-0299-0387	Point	387	299	1	1	none	none	0	63	0	63	0
63	0064-0297-0388	Point	388	297	1	1	none	none	0	64	0	64	0
64	0065-0297-0385	Point	385	297	1	1	none	none	0	65	0	65	0
65	0066-0296-0384	Point	384	296	1	1	none	none	0	66	0	66	0
66	0067-0296-0381	Point	381	296	1	1	none	none	0	67	0	67	0
67	0068-0295-0381	Point	381	295	1	1	none	none	0	68	0	68	0
68	0069-0295-0379	Point	379	295	1	1	none	none	0	69	0	69	0
69	0070-0294-0379	Point	379	294	1	1	none	none	0	70	0	70	0
70	0071-0295-0377	Point	377	295	1	1	none	none	0	71	0	71	0
71	0072-0295-0375	Point	375	295	0	0	none	none	0	72	0	72	0
72	0073-0295-0376	Point	376	295	1	1	none	none	0	73	0	73	0
73	0074-0294-0377	Point	377	294	1	1	none	none	0	74	0	74	0
74	0075-0296-0379	Point	379	296	1	1	none	none	0	75	0	75	0
75	0076-0294-0379	Point	379	294	1	1	none	none	0	76	0	76	0
76	0077-0293-0378	Point	378	293	1	1	none	none	0	77	0	77	0
77	0078-0294-0378	Point	378	294	1	1	none	none	0	78	0	78	0
78	0079-0293-0377	Point	377	293	1	1	none	none	0	79	0	79	0
79	0080-0294-0376	Point	376	294	1	1	none	none	0	80	0	80	0
80	0081-0293-0376	Point	376	293	0	0	none	none	0	81	0	81	0
81	0082-0295-0376	Point	376	295	1	1	none	none	0	82	0	82	0
82	0083-0293-0377	Point	377	293	0	0	none	none	0	83	0	83	0
83	0084-0294-0377	Point	377	294	0	0	none	none	0	84	0	84	0
84	0085-0294-0378	Point	378	294	0	0	none	none	0	85	0	85	0
85	0086-0297-0378	Point	378	297	1	1	none	none	0	86	0	86	0
86	0087-0296-0379	Point	379	296	1	1	none	none	0	87	0	87	0
87	0088-0295-0379	Point	379	295	1	1	none	none	0	88	0	88	0
88	0089-0296-0379	Point	379	296	1	1	none	none	0	89	0	89	0
89	0090-0295-0378	Point	378	295	0	0	none	none	0	90	0	90	0
90	0091-0295-0379	Point	379	295	0	0	none	none	0	91	0	91	0
91	0092-0295-0381	Point	381	295	1	1	none	none	0	92	0	92	0
92	0093-0295-0382	Point	382	295	1	1	none	none	0	93	0	93	0
93	0094-0294-0382	Point	382	294	1	1	none	none	0	94	0	94	0
94	0095-0294-0383	Point	383	294	1	1	none	none	0	95	0	95	0
95	0096-0294-0385	Point	385	294	1	1	none	none	0	96	0	96	0
96	0097-0294-0384	Point	384	294	1	1	none	none	0	97	0	97	0
97	0098-0293-0386	Point	386	293	1	1	none	none	0	98	0	98	0
98	0099-0294-0386	Point	386	294	0	0	none	none	0	99	0	99	0
99	0100-0296-0388	Point	388	296	0	0	none	none	0	100	0	100	0
